name,price,description,in_stock,reviews
Холодильник Samsung RB33A32N0WW/WT,46990,Тип холодильника: С нижней морозильной камерой  / Общий объем: 350 л / Габариты (Ш х Г х В): 59.5х67.5х185 см / Система разморозки No Frost: Да  / Класс энергопотребления: A+,На витрине,
Холодильник Haier C4F640CWU1,50890,Тип холодильника: С нижней морозильной камерой  / Общий объем: 400 л / Габариты (Ш х Г х В): 59.5х68.2х200 см / Система разморозки No Frost: Да  / Класс энергопотребления: A+,Есть в наличии,
Холодильник Haier C2F637CFMVU1,52590,Тип холодильника: С нижней морозильной камерой  / Общий объем: 386 л / Габариты (Ш х Г х В): 59.5х67.2х199.8 см / Система разморозки No Frost: Да  / Класс энергопотребления: A+,Есть в наличии,
Морозильный ларь ARG MF-256,18690,"Тип: Морозильный ларь  / Полезный объем: 254 л / Габариты (Г х В х Ш): 555 x 840 x 1035 мм / Глубина: 555 мм / Высота: 840 мм / Ширина: 1035 мм / Тип управления: Механическое  / Система размораживания: De Frost  / Дисплей: Нет  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильная камера ARG BD-180,24590,"Тип: Морозильная камера  / Полезный объем: 176 л / Габариты (Г х В х Ш): 565 x 1440 x 545 мм / Глубина: 565 мм / Высота: 1440 мм / Ширина: 545 мм / Тип управления: Механическое  / Система размораживания: De Frost  / Дисплей: Нет  / Климатический класс: ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильная камера Indesit DSZ 5175,33890,Тип: Морозильная камера  / Полезный объем: 261 л / Габариты (Г х В х Ш): 620 x 1750 x 600 мм / Глубина: 620 мм / Высота: 1750 мм / Ширина: 600 мм / Тип управления: Механическое  / Система размораживания: Ручная  / Дисплей: Нет  / Климатический класс: SN-N-ST-T  / Хладагент: R600a  / Перенавешиваемые двери: Да,Есть в наличии,
Морозильный ларь Haier HCE200R,20990,"Тип: Морозильный ларь  / Полезный объем: 197 л / Габариты (Г х В х Ш): 555 x 845 x 820 мм / Глубина: 555 мм / Высота: 845 мм / Ширина: 820 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильный ларь ARG MF-330CS,25490,"Тип: Морозильный ларь  / Полезный объем: 330 л / Габариты (Г х В х Ш): 592 x 844 x 1065 мм / Глубина: 592 мм / Высота: 844 мм / Ширина: 1065 мм / Тип управления: Механическое  / Система размораживания: De Frost  / Дисплей: Нет  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",Есть в наличии,
Морозильный ларь Haier HCE100R,15990,"Тип: Морозильный ларь  / Полезный объем: 98 л / Габариты (Г х В х Ш): 490 x 845 x 545 мм / Глубина: 490 мм / Высота: 845 мм / Ширина: 545 мм / Тип управления: Электронное  / Система размораживания: Ручная  / Дисплей: Да  / Климатический класс: N, SN, ST, T  / Хладагент: R600a  / Перенавешиваемые двери: Нет",На витрине,
Морозильная камера Haier HF-284WG,46490,Тип: Морозильная камера  / Полезный объем: 255 л / Габариты (Г х В х Ш): 630 x 1642 x 595 мм / Глубина: 630 мм / Высота: 1642 мм / Ширина: 595 мм / Тип управления: Электронное  / Система размораживания: No Frost  / Дисплей: Да  / Климатический класс: SN-T  / Хладагент: R600a  / Перенавешиваемые двери: Да,На витрине,
